Benchmark,L2_Size_KB,L2_Assoc,L2_Block_B,IPC,L1_MPKI,L2_MPKI,Total_Instructions,L1_Total_Misses,L2_Total_Misses
450.soplex,2048,16,64,0.139278,51.97972156098114,20.181644959179838,7435683578,386504762,150064326
450.soplex,2048,16,128,0.208962,51.94446327839726,10.60662676204246,7441230164,386530707,78926351
450.soplex,2048,16,256,0.282923,51.96076764527033,5.601445112047439,7439201700,386546631,41670280
459.GemsFDTD,256,4,64,0.113944,58.65159161301668,25.953796003958992,108731492132,6377275072,2821994966
459.GemsFDTD,256,4,128,0.145212,58.66981523492717,18.393879887896425,108731492224,6379256559,1999994008
459.GemsFDTD,256,4,256,0.164658,58.75779044073056,15.135415423179563,108731492132,6388822229,1645696303
459.GemsFDTD,256,8,64,0.117154,58.64334068339462,24.992644003294735,108731492420,6376377953,2717487482
459.GemsFDTD,256,8,128,0.146759,58.676943239011024,18.103076742762763,108731492164,6380031594,1968374547
459.GemsFDTD,256,8,256,0.163557,58.776274669984474,15.297816824167928,108731492220,6390832052,1663354451
459.GemsFDTD,512,4,64,0.118679,58.62060193291073,24.555196599324294,108731492220,6373905523,2669923168
459.GemsFDTD,512,4,128,0.167264,55.0292688776508,14.980606833046675,108731492132,5983414516,1628863734
459.GemsFDTD,512,4,256,0.187545,58.680634864774355,12.175440036142568,108731492420,6380433005,1323853766
459.GemsFDTD,512,8,64,0.11948,58.60262682033735,24.330426133391473,108731492268,6371951065,2645483541
459.GemsFDTD,512,8,128,0.171421,58.62466225610676,14.184945865355292,108731492220,6374347008,1542350331
459.GemsFDTD,512,8,256,0.189557,58.71268087943347,11.947126504823524,108731492420,6383917416,1299028895
459.GemsFDTD,1024,8,64,0.120426,58.61513193787173,24.066595194812834,108731492420,6373310774,2616796813
459.GemsFDTD,1024,8,128,0.174208,58.611632785210766,13.812413181070607,108731492268,6372930297,1501844297
459.GemsFDTD,1024,8,256,0.225856,58.61302935365846,8.561668894140253,108731492132,6373082140,930923034
459.GemsFDTD,1024,16,64,0.120418,58.61132389673953,24.069033146833657,108731492164,6372896705,2617061889
459.GemsFDTD,1024,16,128,0.174218,58.612093202081134,13.811072434852306,108731492220,6372980356,1501698515
459.GemsFDTD,1024,16,256,0.228847,58.59061281221119,8.331544230996446,108731492132,6370644756,905901236
459.GemsFDTD,2048,16,64,0.122247,58.61484457607492,23.571915934108386,108731492220,6373279517,2563009594
459.GemsFDTD,2048,16,128,0.175521,58.60070673092432,13.641352727863813,108731492220,6371742288,1483244638
459.GemsFDTD,2048,16,256,0.230047,58.60604212169434,8.239463854568628,108731492220,6372322413,895889200
470.lbm,256,4,64,0.0773001,86.48746277622621,41.23334720419571,96483397826,8344604278,3978333442
470.lbm,256,4,128,0.128355,86.5123913551755,20.64905712165046,96483397826,8347009472,1992291193
470.lbm,256,4,256,0.19179,86.51302176415123,10.341624616075842,96483397826,8347070296,997795082
470.lbm,256,8,64,0.0773322,86.47484183803957,41.212671698927984,96483397826,8343386567,3976338599
470.lbm,256,8,128,0.128475,86.4840343003697,20.621730399546884,96483397826,8344273487,1989654618
470.lbm,256,8,256,0.191877,86.49589562600487,10.333157988465222,96483397826,8345417908,996978193
470.lbm,512,4,64,0.0773703,86.44647271898204,41.18888766922229,96483397826,8340649418,3974043835
470.lbm,512,4,128,0.128539,86.45111979827342,20.60811230535031,96483397826,8341097784,1988340698
470.lbm,512,4,256,0.19205,86.4550513762293,10.316854199052283,96483397826,8341477116,995405148
470.lbm,512,8,64,0.0773745,86.44347975846752,41.186262315993574,96483397826,8340360647,3973790532
470.lbm,512,8,128,0.128557,86.4445538810869,20.604279335032796,96483397826,8340464282,1987970880
470.lbm,512,8,256,0.19211,86.44596777200569,10.310941845084104,96483397826,8340600699,994834704
470.lbm,1024,8,64,0.07739,86.43116610630798,41.176662446784256,96483397826,8339172584,3972864304
470.lbm,1024,8,128,0.128594,86.43186430933065,20.596088184868027,96483397826,8339239949,1987180570
470.lbm,1024,8,256,0.192211,86.43174898379019,10.300816735251614,96483397826,8339228822,993857799
470.lbm,1024,16,64,0.0773904,86.43078326324034,41.1764218872629,96483397826,8339135646,3972841094
470.lbm,1024,16,128,0.128596,86.43075971514759,20.595606267760548,96483397826,8339133374,1987134073
470.lbm,1024,16,256,0.192205,86.43092939200776,10.301509434736769,96483397826,8339149745,993924633
470.lbm,2048,16,64,0.0773955,86.42722505521972,41.1731709652694,96483397826,8338792338,3972527434
470.lbm,2048,16,128,0.128607,86.4272823085931,20.59316027181391,96483397826,8338797862,1986898075
470.lbm,2048,16,256,0.192234,86.42732648199595,10.298548842485289,96483397826,8338802124,993638985
